anon_id,current_rank,current_score,app_view_days,file_access_view_days,suspicious_view_days,likes,tier1_flag,tier2_flag,storage_bucket,available_flag,proposed_rank_change
V001,1,5400,7,23,0,2,1,1,C_DRIVE,1,0
V002,2,5220,6,18,0,3,1,1,C_DRIVE,1,0
V003,3,4860,4,20,0,2,1,1,EXTERNAL_HDD,0,0
V004,4,4320,7,20,0,1,1,1,C_DRIVE,1,0
V005,5,4200,6,16,0,3,1,0,C_DRIVE,1,0
V006,6,4140,4,15,0,2,1,1,C_DRIVE,1,0
V007,7,4140,3,16,0,2,1,1,C_DRIVE,1,0
V008,8,4140,7,16,0,2,1,1,C_DRIVE,1,0
V009,9,3780,2,14,0,2,1,1,C_DRIVE,1,0
V010,10,3780,3,18,0,1,1,1,EXTERNAL_HDD,0,0
V011,11,3750,6,18,1,2,1,0,C_DRIVE,1,3
V012,12,3600,2,16,1,1,1,1,C_DRIVE,1,-1
V013,13,3600,5,14,1,2,1,1,EXTERNAL_HDD,0,-1
V014,14,3600,4,10,0,3,1,1,EXTERNAL_HDD,0,-1
V015,15,3420,2,15,0,1,1,1,EXTERNAL_HDD,0,0
V016,16,3420,2,12,0,2,1,1,EXTERNAL_HDD,0,0
V017,17,3420,7,18,0,0,1,1,EXTERNAL_HDD,0,0
V018,18,3300,3,16,0,2,1,0,C_DRIVE,1,0
V019,19,3300,4,16,2,2,1,0,C_DRIVE,1,0
V020,20,3150,4,17,1,1,1,0,C_DRIVE,1,0
V021,21,3060,4,17,1,0,1,1,EXTERNAL_HDD,0,8
V022,22,3060,2,13,0,1,1,1,C_DRIVE,1,-1
V023,23,3060,1,14,0,1,1,1,C_DRIVE,1,-1
V024,24,3060,1,14,0,1,1,1,C_DRIVE,1,-1
V025,25,3060,1,14,0,1,1,1,EXTERNAL_HDD,0,-1
V026,26,3060,1,17,0,0,1,1,C_DRIVE,1,-1
V027,27,3060,1,14,0,1,1,1,EXTERNAL_HDD,0,-1
V028,28,3000,3,9,0,3,1,0,C_DRIVE,1,-1
V029,29,2880,2,13,0,1,1,1,EXTERNAL_HDD,0,-1
V030,30,2880,1,16,0,0,1,1,C_DRIVE,1,0
V031,31,2880,2,16,0,0,1,1,EXTERNAL_HDD,0,0
V032,32,2880,1,16,0,0,1,1,C_DRIVE,1,0
V033,33,2880,1,16,0,0,1,1,EXTERNAL_HDD,0,0
V034,34,2880,1,16,0,0,1,1,EXTERNAL_HDD,0,0
V035,35,2880,2,12,0,1,1,1,EXTERNAL_HDD,0,0
V036,36,2700,4,17,0,0,1,0,C_DRIVE,1,0
V037,37,2700,3,15,0,0,1,1,EXTERNAL_HDD,0,0
V038,38,2700,1,15,0,0,1,1,EXTERNAL_HDD,0,0
V039,39,2700,3,15,0,0,1,1,C_DRIVE,1,0
V040,40,2700,3,14,0,0,1,1,EXTERNAL_HDD,0,0
V041,41,2700,1,12,0,1,1,1,C_DRIVE,1,0
V042,42,2700,2,8,0,2,1,1,EXTERNAL_HDD,0,0
V043,43,2700,1,15,0,0,1,1,EXTERNAL_HDD,0,0
V044,44,2700,4,15,0,0,1,1,C_DRIVE,1,0
V045,45,2700,2,14,0,0,1,1,C_DRIVE,1,0
V046,46,2700,1,12,0,1,1,1,EXTERNAL_HDD,0,0
V047,47,2700,1,12,0,1,1,1,EXTERNAL_HDD,0,0
V048,48,2700,1,15,0,0,1,1,C_DRIVE,1,0
V049,49,2700,1,15,0,0,1,1,C_DRIVE,1,0
V050,50,2700,0,15,0,0,1,1,EXTERNAL_HDD,0,0
